Name,Address,Direction,Status,Duration,Date
Aarav,+ABC0117073252,Incoming,Missed,00:00,12/23/2022 (5:54:01 AM)
Aarav,+ABC0117073252,Outgoing,Answered,00:19,12/23/2022 (5:54:30 AM)
Aarav,+ABC0117073252,Incoming,Answered,00:07,12/24/2022 (8:42:03 AM)
Aarav,+ABC1085876770,Outgoing,Unanswered,00:00,12/24/2022 (5:46:02 PM)
Aarav,+ABC1085876770,Outgoing,Unanswered,00:00,12/24/2022 (5:47:39 PM)
Aarav,+ABC1085876770,Outgoing,Unanswered,00:00,12/24/2022 (5:48:09 PM)
Aarav,+ABC1085876770,Outgoing,Answered,00:43,12/26/2022 (10:02:57 AM)
Aarav,+ABC1085876770,Outgoing,Answered,00:37,12/26/2022 (11:14:05 AM)
Aarav,+ABC1085876770,Outgoing,Answered,01:20,12/26/2022 (12:46:55 PM)
Aarav,+ABC1085876770,Outgoing,Unanswered,00:00,12/26/2022 (5:03:49 PM)
Aarav,+ABC1085876770,Outgoing,Unanswered,00:00,12/28/2022 (2:47:38 PM)
Aarav,+ABC1085876770,Outgoing,Unanswered,00:00,12/29/2022 (12:05:33 PM)
Aarav,+ABC1085876770,Outgoing,Unanswered,00:00,12/29/2022 (12:20:18 PM)
Aarav,+ABC1085876770,Outgoing,Unanswered,00:00,12/29/2022 (12:21:46 PM)
Aarav,+ABC1085876770,Outgoing,Unanswered,00:00,12/29/2022 (12:22:00 PM)
Aarav,+ABC1085876770,Outgoing,Unanswered,00:00,12/29/2022 (12:24:00 PM)
Aarav,+ABC1085876770,Outgoing,Answered,00:40,12/29/2022 (1:38:31 PM)
Aarav,+ABC1085876770,Outgoing,Answered,01:24,12/29/2022 (5:35:18 PM)
Aarav,+ABC1085876770,Outgoing,Unanswered,00:00,12/31/2022 (10:49:53 PM)
Aarav,+ABC1085876770,Outgoing,Answered,00:22,12/31/2022 (11:24:54 PM)
Aditi,+ABC7251588569,Outgoing,Answered,01:20,5/3/2022 (1:47:29 PM)
Aditi,+ABC8626651381,Outgoing,Answered,00:41,7/13/2022 (1:00:53 PM)
Aditi,+ABC7843055241,Outgoing,Answered,01:40,7/13/2022 (1:02:02 PM)
Aditi,+ABC7843055241,Outgoing,Answered,00:13,7/13/2022 (1:10:48 PM)
Aditi,+ABC7843055241,Outgoing,Answered,00:31,7/13/2022 (2:11:18 PM)
Aditi,+ABC9645756400,Incoming,Answered,00:36,7/13/2022 (6:23:04 PM)
Aditi,+ABC7251588569,Outgoing,Answered,00:12,7/14/2022 (9:46:48 PM)
Aditi,+ABC8626651381,Outgoing,Unanswered,00:00,7/14/2022 (9:47:52 PM)
Aditi,+ABC8626651381,Outgoing,Answered,00:29,7/14/2022 (9:48:36 PM)
Aditi,+ABC8626651381,Outgoing,Unanswered,00:00,7/15/2022 (11:52:10 AM)
Aditi,+ABC8626651381,Outgoing,Answered,00:09,7/16/2022 (10:45:31 PM)
Aditi,+ABC8626651381,Outgoing,Unanswered,00:00,7/17/2022 (9:02:49 AM)
Aditi,+ABC8626651381,Outgoing,Unanswered,00:00,9/8/2022 (10:03:44 AM)
Aditi,+ABC9645756400,Outgoing,Unanswered,00:00,9/8/2022 (12:26:03 PM)
Aditi,+ABC9645756400,Incoming,Call Rejected,,9/8/2022 (11:33:34 PM)
Aditi,+ABC9645756400,Outgoing,Answered,06:58,9/8/2022 (11:33:47 PM)
Aditi,+ABC9645756400,Incoming,Missed,00:00,9/8/2022 (11:41:46 PM)
Aditi,+ABC9645756400,Outgoing,Answered,00:02,9/8/2022 (11:42:36 PM)
Aditi,+ABC9645756400,Outgoing,Answered,13:18,9/8/2022 (11:42:51 PM)
