Name,Address,Direction,Status,Duration,Date
Robert Downey Jr.,+ABC0117073252,Incoming,Missed,00:00,12/23/2022 (5:54:01 AM)
Robert Downey Jr.,+ABC0117073252,Outgoing,Answered,00:19,12/23/2022 (5:54:30 AM)
Robert Downey Jr.,+ABC0117073252,Incoming,Answered,00:07,12/24/2022 (8:42:03 AM)
Robert Downey Jr.,+ABC1085876770,Outgoing,Unanswered,00:00,12/24/2022 (5:46:02 PM)
Robert Downey Jr.,+ABC1085876770,Outgoing,Unanswered,00:00,12/24/2022 (5:47:39 PM)
Robert Downey Jr.,+ABC1085876770,Outgoing,Unanswered,00:00,12/24/2022 (5:48:09 PM)
Robert Downey Jr.,+ABC1085876770,Outgoing,Answered,00:43,12/26/2022 (10:02:57 AM)
Robert Downey Jr.,+ABC1085876770,Outgoing,Answered,00:37,12/26/2022 (11:14:05 AM)
Robert Downey Jr.,+ABC1085876770,Outgoing,Answered,01:20,12/26/2022 (12:46:55 PM)
Robert Downey Jr.,+ABC1085876770,Outgoing,Unanswered,00:00,12/26/2022 (5:03:49 PM)
Robert Downey Jr.,+ABC1085876770,Outgoing,Unanswered,00:00,12/28/2022 (2:47:38 PM)
Robert Downey Jr.,+ABC1085876770,Outgoing,Unanswered,00:00,12/29/2022 (12:05:33 PM)
Robert Downey Jr.,+ABC1085876770,Outgoing,Unanswered,00:00,12/29/2022 (12:20:18 PM)
Robert Downey Jr.,+ABC1085876770,Outgoing,Unanswered,00:00,12/29/2022 (12:21:46 PM)
Robert Downey Jr.,+ABC1085876770,Outgoing,Unanswered,00:00,12/29/2022 (12:22:00 PM)
Robert Downey Jr.,+ABC1085876770,Outgoing,Unanswered,00:00,12/29/2022 (12:24:00 PM)
Robert Downey Jr.,+ABC1085876770,Outgoing,Answered,00:40,12/29/2022 (1:38:31 PM)
Robert Downey Jr.,+ABC1085876770,Outgoing,Answered,01:24,12/29/2022 (5:35:18 PM)
Robert Downey Jr.,+ABC1085876770,Outgoing,Unanswered,00:00,12/31/2022 (10:49:53 PM)
Robert Downey Jr.,+ABC1085876770,Outgoing,Answered,00:22,12/31/2022 (11:24:54 PM)
Sergio Ramos,+ABC7251588569,Outgoing,Answered,01:20,5/3/2022 (1:47:29 PM)
Sergio Ramos,+ABC8626651381,Outgoing,Answered,00:41,7/13/2022 (1:00:53 PM)
Sergio Ramos,+ABC7843055241,Outgoing,Answered,01:40,7/13/2022 (1:02:02 PM)
Sergio Ramos,+ABC7843055241,Outgoing,Answered,00:13,7/13/2022 (1:10:48 PM)
Sergio Ramos,+ABC7843055241,Outgoing,Answered,00:31,7/13/2022 (2:11:18 PM)
Sergio Ramos,+ABC9645756400,Incoming,Answered,00:36,7/13/2022 (6:23:04 PM)
Sergio Ramos,+ABC7251588569,Outgoing,Answered,00:12,7/14/2022 (9:46:48 PM)
Sergio Ramos,+ABC8626651381,Outgoing,Unanswered,00:00,7/14/2022 (9:47:52 PM)
Sergio Ramos,+ABC8626651381,Outgoing,Answered,00:29,7/14/2022 (9:48:36 PM)
Sergio Ramos,+ABC8626651381,Outgoing,Unanswered,00:00,7/15/2022 (11:52:10 AM)
Sergio Ramos,+ABC8626651381,Outgoing,Answered,00:09,7/16/2022 (10:45:31 PM)
Sergio Ramos,+ABC8626651381,Outgoing,Unanswered,00:00,7/17/2022 (9:02:49 AM)
Sergio Ramos,+ABC8626651381,Outgoing,Unanswered,00:00,9/8/2022 (10:03:44 AM)
Sergio Ramos,+ABC9645756400,Outgoing,Unanswered,00:00,9/8/2022 (12:26:03 PM)
Sergio Ramos,+ABC9645756400,Incoming,Call Rejected,,9/8/2022 (11:33:34 PM)
Sergio Ramos,+ABC9645756400,Outgoing,Answered,06:58,9/8/2022 (11:33:47 PM)
Sergio Ramos,+ABC9645756400,Incoming,Missed,00:00,9/8/2022 (11:41:46 PM)
Sergio Ramos,+ABC9645756400,Outgoing,Answered,00:02,9/8/2022 (11:42:36 PM)
Sergio Ramos,+ABC9645756400,Outgoing,Answered,13:18,9/8/2022 (11:42:51 PM)
Sergio Ramos,+ABC9645756400,Incoming,Missed,00:00,9/9/2022 (11:52:43 PM)
Sergio Ramos,+ABC9645756400,Outgoing,Unanswered,00:00,9/9/2022 (11:56:39 PM)
Sergio Ramos,+ABC9645756400,Outgoing,Answered,06:30,9/9/2022 (11:56:44 PM)
Sergio Ramos,+ABC9645756400,Incoming,Answered,01:27,9/10/2022 (12:06:43 AM)
Sergio Ramos,+ABC9645756400,Incoming,Missed,00:00,10/7/2022 (7:29:21 PM)
Sergio Ramos,+ABC9645756400,Outgoing,Answered,01:22,10/7/2022 (7:42:16 PM)
Sergio Ramos,+ABC8626651381,Outgoing,Unanswered,00:00,10/8/2022 (8:24:09 PM)
Sergio Ramos,+ABC9645756400,Incoming,Answered,00:33,10/8/2022 (11:24:41 PM)
Sergio Ramos,+ABC8626651381,Outgoing,Answered,00:14,10/9/2022 (9:42:51 AM)
Sergio Ramos,+ABC9645756400,Incoming,Missed,00:00,10/10/2022 (3:08:15 PM)
Sergio Ramos,+ABC9645756400,Incoming,Answered,00:08,10/10/2022 (3:09:18 PM)
Sergio Ramos,+ABC9645756400,Incoming,Answered,02:03,10/11/2022 (10:57:09 PM)
Sergio Ramos,+ABC9645756400,Outgoing,Answered,05:37,10/11/2022 (10:59:20 PM)
Sergio Ramos,+ABC8626651381,Outgoing,Answered,02:26,12/16/2022 (9:55:52 AM)
Sergio Ramos,+ABC9645756400,Incoming,Answered,03:18,12/26/2022 (10:55:20 PM)
Sergio Ramos,+ABC9645756400,Incoming,Answered,04:16,12/26/2022 (11:19:34 PM)
Antoine Griezmann,+ABC0129174165,Incoming,Missed,00:00,5/2/2022 (2:12:37 PM)
Antoine Griezmann,+ABC0129174165,Incoming,Missed,00:00,5/2/2022 (2:13:25 PM)
Antoine Griezmann,+ABC0129174165,Outgoing,Unanswered,00:00,5/2/2022 (2:45:52 PM)
Antoine Griezmann,+ABC2580558389,Outgoing,Unanswered,00:00,5/6/2022 (2:56:24 PM)
Antoine Griezmann,+ABC0129174165,Incoming,Answered,00:31,5/8/2022 (11:06:41 AM)
Antoine Griezmann,+ABC0129174165,Incoming,Missed,00:00,5/10/2022 (11:44:00 AM)
Antoine Griezmann,+ABC2580558389,Outgoing,Unanswered,00:00,5/10/2022 (5:01:19 PM)
Antoine Griezmann,+ABC2580558389,Outgoing,Unanswered,00:00,5/10/2022 (5:02:01 PM)
Antoine Griezmann,+ABC0129174165,Incoming,Answered,00:11,5/10/2022 (5:08:44 PM)
Antoine Griezmann,+ABC0129174165,Incoming,Answered,00:09,5/10/2022 (5:20:27 PM)
Antoine Griezmann,+ABC0129174165,Outgoing,Answered,00:21,5/10/2022 (8:58:16 PM)
Antoine Griezmann,+ABC2580558389,Outgoing,Unanswered,00:00,5/12/2022 (9:27:46 PM)
Antoine Griezmann,+ABC2580558389,Outgoing,Unanswered,00:00,5/12/2022 (9:28:25 PM)
Antoine Griezmann,+ABC0129174165,Incoming,Answered,01:09,5/12/2022 (9:29:16 PM)
Antoine Griezmann,+ABC0129174165,Outgoing,Unanswered,00:00,5/12/2022 (9:48:29 PM)
